CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
11/1/2006,976510,623929,1600439,0.64
11/2/2006,1032775,628187,1660962,0.61
11/3/2006,959587,611603,1571190,0.64
11/6/2006,941869,521902,1463771,0.55
11/7/2006,1050981,597229,1648210,0.57
11/8/2006,1133823,767897,1901720,0.68
11/9/2006,1232216,750405,1982621,0.61
11/10/2006,639349,505880,1145229,0.79
11/13/2006,1038410,611855,1650265,0.59
11/14/2006,1148397,660989,1809386,0.58
11/15/2006,1291510,665999,1957509,0.52
11/16/2006,1433671,766665,2200336,0.53
11/17/2006,1681265,795461,2476726,0.47
11/20/2006,1149351,619934,1769285,0.54
11/21/2006,1160940,717196,1878136,0.62
11/22/2006,995476,630582,1626058,0.63
11/24/2006,419366,218771,638137,0.52
11/27/2006,1083666,739831,1823497,0.68
11/28/2006,958362,618374,1576736,0.65
11/29/2006,1118236,592235,1710471,0.53
11/30/2006,1108497,642390,1750887,0.58
12/1/2006,1003245,590574,1593819,0.59
12/4/2006,1056500,676096,1732596,0.64
12/5/2006,1073415,606768,1680183,0.57
12/6/2006,1119381,601676,1721057,0.54
12/7/2006,1104592,761228,1865820,0.69
12/8/2006,999365,551857,1551222,0.55
12/11/2006,1081065,612768,1693833,0.57
12/12/2006,1077606,753803,1831409,0.7
12/13/2006,1114386,632839,1747225,0.57
12/14/2006,1255504,564409,1819913,0.45
12/15/2006,1498167,747134,2245301,0.5
12/18/2006,1283115,753818,2036933,0.59
12/19/2006,988652,661923,1650575,0.67
12/20/2006,899598,489606,1389204,0.54
12/21/2006,1128889,503744,1632633,0.45
12/22/2006,570993,376790,947783,0.66
12/26/2006,603286,373894,977180,0.62
12/27/2006,621840,420898,1042738,0.68
12/28/2006,566152,412579,978731,0.73
12/29/2006,810965,434074,1245039,0.54
1/3/2007,1230104,731762,1961866,0.59
1/4/2007,1159836,592701,1752537,0.51
1/5/2007,1157209,687985,1845194,0.59
1/8/2007,972918,691748,1664666,0.71
1/9/2007,1197985,801313,1999298,0.67
1/10/2007,1300113,748542,2048655,0.58
1/11/2007,1356894,735073,2091967,0.54
1/12/2007,1106585,623461,1730046,0.56
1/16/2007,1279841,712538,1992379,0.56
1/17/2007,1233395,674863,1908258,0.55
1/18/2007,1325733,791613,2117346,0.6
1/19/2007,1593515,881479,2474994,0.55
1/22/2007,1088092,675333,1763425,0.62
1/23/2007,1223553,790123,2013676,0.65
1/24/2007,1172057,676577,1848634,0.58
1/25/2007,1073534,758640,1832174,0.71
1/26/2007,912556,599314,1511870,0.66
1/29/2007,940225,566863,1507088,0.6
1/30/2007,920694,622062,1542756,0.68
1/31/2007,1181595,666119,1847714,0.56
2/1/2007,1063501,611213,1674714,0.57
2/2/2007,844658,593475,1438133,0.7
2/5/2007,922313,526401,1448714,0.57
2/6/2007,1038197,568854,1607051,0.55
2/7/2007,943252,614583,1557835,0.65
2/8/2007,1100826,629489,1730315,0.57
2/9/2007,1159975,790774,1950749,0.68
2/12/2007,908986,705041,1614027,0.78
2/13/2007,1016051,753149,1769200,0.74
2/14/2007,1159297,781168,1940465,0.67
2/15/2007,1234529,662125,1896654,0.54
2/16/2007,1360369,750529,2110898,0.55
2/20/2007,1058078,689320,1747398,0.65
2/21/2007,994103,707541,1701644,0.71
2/22/2007,1085809,719998,1805807,0.66
2/23/2007,929758,681539,1611297,0.73
2/26/2007,1050507,785461,1835968,0.75
2/27/2007,1463993,1272649,2736642,0.87
2/28/2007,1228126,896791,2124917,0.73
3/1/2007,1217782,974156,2191938,0.8
3/2/2007,1025999,823520,1849519,0.8
3/5/2007,1046171,1005678,2051849,0.96
3/6/2007,1048674,807723,1856397,0.77
3/7/2007,945086,662472,1607558,0.7
3/8/2007,949126,734382,1683508,0.77
3/9/2007,827622,681651,1509273,0.82
3/12/2007,1053619,794156,1847775,0.75
3/13/2007,1195402,1173126,2368528,0.98
3/14/2007,1224646,1085713,2310359,0.89
3/15/2007,1092637,859862,1952499,0.79
3/16/2007,1184487,995100,2179587,0.84
3/19/2007,1235913,757390,1993303,0.61
3/20/2007,1127249,826445,1953694,0.73
3/21/2007,1204884,798927,2003811,0.66
3/22/2007,1025055,629065,1654120,0.61
3/23/2007,900803,581265,1482068,0.65
3/26/2007,827173,570320,1397493,0.69
3/27/2007,920016,568608,1488624,0.62
3/28/2007,966496,864935,1831431,0.89
3/29/2007,866994,661324,1528318,0.76
3/30/2007,940256,626489,1566745,0.67
4/2/2007,914105,576518,1490623,0.63
4/3/2007,1004292,666087,1670379,0.66
4/4/2007,883506,649560,1533066,0.74
4/5/2007,1162716,633799,1796515,0.55
4/9/2007,1035633,636388,1672021,0.61
4/10/2007,953731,660609,1614340,0.69
4/11/2007,1024356,706506,1730862,0.69
4/12/2007,1041100,755263,1796363,0.73
4/13/2007,1031074,687140,1718214,0.67
4/16/2007,1394652,783077,2177729,0.56
4/17/2007,1301619,878412,2180031,0.67
4/18/2007,1453399,787825,2241224,0.54
4/19/2007,1461941,905261,2367202,0.62
4/20/2007,1788062,895237,2683299,0.5
4/23/2007,1349659,779191,2128850,0.58
4/24/2007,1217618,884163,2101781,0.73
4/25/2007,1470190,887804,2357994,0.6
4/26/2007,1569953,945099,2515052,0.6
4/27/2007,1277940,735370,2013310,0.58
4/30/2007,1185377,760393,1945770,0.64
5/1/2007,1116403,816240,1932643,0.73
5/2/2007,1226082,686277,1912359,0.56
5/3/2007,1209303,792378,2001681,0.66
5/4/2007,1494194,812502,2306696,0.54
5/7/2007,1455319,660655,2115974,0.45
5/8/2007,1231348,742221,1973569,0.6
5/9/2007,1419004,756047,2175051,0.53
5/10/2007,1195255,816133,2011388,0.68
5/11/2007,1079230,673958,1753188,0.62
5/14/2007,1331131,672860,2003991,0.51
5/15/2007,1299945,823354,2123299,0.63
5/16/2007,1172298,823242,1995540,0.7
5/17/2007,1331813,652666,1984479,0.49
5/18/2007,1619359,829946,2449305,0.51
5/21/2007,1474992,817080,2292072,0.55
5/22/2007,1361135,821566,2182701,0.6
5/23/2007,1178752,789629,1968381,0.67
5/24/2007,1155240,769041,1924281,0.67
5/25/2007,857336,470678,1328014,0.55
5/29/2007,863991,496827,1360818,0.58
5/30/2007,1050146,685966,1736112,0.65
5/31/2007,1301206,664097,1965303,0.51
6/1/2007,1101483,554033,1655516,0.5
6/4/2007,1062898,557828,1620726,0.52
6/5/2007,1160539,732661,1893200,0.63
6/6/2007,1146512,710027,1856539,0.62
6/7/2007,1349399,972630,2322029,0.72
6/8/2007,1080223,649958,1730181,0.6
6/11/2007,1048514,746830,1795344,0.71
6/12/2007,1269153,831553,2100706,0.66
6/13/2007,1138485,659703,1798188,0.58
6/14/2007,1307836,696351,2004187,0.53
6/15/2007,1605445,763387,2368832,0.48
6/18/2007,1106690,641857,1748547,0.58
6/19/2007,1146946,715978,1862924,0.62
6/20/2007,1081439,679108,1760547,0.63
6/21/2007,1037282,635198,1672480,0.61
6/22/2007,931566,582187,1513753,0.62
6/25/2007,818848,618777,1437625,0.76
6/26/2007,939473,666175,1605648,0.71
6/27/2007,997223,646943,1644166,0.65
6/28/2007,991567,588401,1579968,0.59
6/29/2007,935333,608090,1543423,0.65
7/2/2007,937826,503488,1441314,0.54
7/3/2007,689780,404522,1094302,0.59
7/5/2007,1023507,567185,1590692,0.55
7/6/2007,932316,493053,1425369,0.53
7/9/2007,1111094,574650,1685744,0.52
7/10/2007,1215241,719509,1934750,0.59
7/11/2007,1209083,686541,1895624,0.57
7/12/2007,1657753,800516,2458269,0.48
7/13/2007,1442207,725263,2167470,0.5
7/16/2007,1386823,745058,2131881,0.54
7/17/2007,1451649,874240,2325889,0.6
7/18/2007,1483245,1081957,2565202,0.73
7/19/2007,1727252,929921,2657173,0.54
7/20/2007,1890521,1300745,3191266,0.69
7/23/2007,1476963,803337,2280300,0.54
7/24/2007,1466865,1153219,2620084,0.79
7/25/2007,1502520,965597,2468117,0.64
7/26/2007,1663605,1421333,3084938,0.85
7/27/2007,1371369,1060832,2432201,0.77
7/30/2007,1299230,922866,2222096,0.71
7/31/2007,1426469,1027279,2453748,0.72
8/1/2007,1387278,1212664,2599942,0.87
8/2/2007,1334467,1026747,2361214,0.77
8/3/2007,1338200,1064765,2402965,0.8
8/6/2007,1400865,1174113,2574978,0.84
8/7/2007,1394415,958341,2352756,0.69
8/8/2007,1744508,1065151,2809659,0.61
8/9/2007,1544053,1000455,2544508,0.65
8/10/2007,1719291,1036221,2755512,0.6
8/13/2007,1136918,803886,1940804,0.71
