RVIsignal,5mins,0,0.1418,slopenormal,PCompareNormal,FDAX,0.1418
RVIline,5mins,0,0.1142,slopenormal,PCompareNormal,FDAX,0.1142
ATR,5mins,0,2.1649,slopenormal,PCompareNormal,FDAX,2.1649
diffvES,5mins,0,0.0017,slopenormal,PCompareNormal,FDAX,0.0017
kupper,5mins,0,22.2653,slopenormal,PCompareNormal,FDAX,22.2653
klower,5mins,0,27.2512,slopenormal,PCompareNormal,FDAX,27.2512
kmid,5mins,0,24.5224,slopenormal,PCompareNormal,FDAX,24.5224
bbandupper,5mins,0,26.2869,slopenormal,PCompareNormal,FDAX,26.2869
bbandlower,5mins,0,21.0407,slopenormal,PCompareNormal,FDAX,21.0407
stddev,5mins,0,5.4632,slopenormal,PCompareNormal,FDAX,5.4632
pivot,5mins,0,28.1498,slopenormal,PCompareNormal,FDAX,28.1498
R,5mins,0,26.8923,slopenormal,PCompareNormal,FDAX,26.8923
S,5mins,0,30.6557,slopenormal,PCompareNormal,FDAX,30.6557
S2,5mins,0,32.892,slopenormal,PCompareNormal,FDAX,32.892
R2,5mins,0,25.7588,slopenormal,PCompareNormal,FDAX,25.7588
sma200,5mins,0,10.967,slopenormal,PCompareNormal,FDAX,10.967
sma100,5mins,0,10.967,slopenormal,PCompareNormal,FDAX,10.967
sma50,5mins,0,20.2183,slopenormal,PCompareNormal,FDAX,20.2183
ema,5mins,0,22.4407,slopenormal,PCompareNormal,FDAX,22.4407
ROC,15mins,0,0.4577,slopenormal,PCompareNormal,FDAX,0.4577
RVIsignal,15mins,0,0.1455,slopenormal,PCompareNormal,FDAX,0.1455
RVI_CROSS,15mins,0,0.0608,slopenormal,PCompareNormal,FDAX,0.0608
RVIline,15mins,0,0.1232,slopenormal,PCompareNormal,FDAX,0.1232
AO,15mins,0,52.5713,slopenormal,PCompareNormal,FDAX,52.5713
AOAcc,15mins,0,10.6847,slopenormal,PCompareNormal,FDAX,10.6847
RSI,15mins,0,16.7851,slopenormal,PCompareNormal,FDAX,16.7851
mcross,15mins,0,19.2905,slopenormal,PCompareNormal,FDAX,19.2905
Stoch_CROSS,15mins,0,8.0362,slopenormal,PCompareNormal,FDAX,8.0362
mcd,15mins,0,5.8792,slopenormal,PCompareNormal,FDAX,5.8792
RVI_CROSS,15mins,0,0.0608,slopenormal,PCompareNormal,FDAX,0.0608
StochD,15mins,0,31.4429,slopenormal,PCompareNormal,FDAX,31.4429
StochK,15mins,0,33.2498,slopenormal,PCompareNormal,FDAX,33.2498
RVIsignal,15mins,0,0.1455,slopenormal,PCompareNormal,FDAX,0.1455
RVIline,15mins,0,0.1232,slopenormal,PCompareNormal,FDAX,0.1232
ATR,15mins,0,3.2987,slopenormal,PCompareNormal,FDAX,3.2987
diffvES,15mins,0,0.0044,slopenormal,PCompareNormal,FDAX,0.0044
kupper,15mins,0,39.9505,slopenormal,PCompareNormal,FDAX,39.9505
klower,15mins,0,45.2037,slopenormal,PCompareNormal,FDAX,45.2037
kmid,15mins,0,42.1294,slopenormal,PCompareNormal,FDAX,42.1294
bbandupper,15mins,0,30.0687,slopenormal,PCompareNormal,FDAX,30.0687
bbandlower,15mins,0,39.9404,slopenormal,PCompareNormal,FDAX,39.9404
stddev,15mins,0,7.4594,slopenormal,PCompareNormal,FDAX,7.4594
pivot,15mins,0,52.3148,slopenormal,PCompareNormal,FDAX,52.3148
R,15mins,0,50.7922,slopenormal,PCompareNormal,FDAX,50.7922
S,15mins,0,54.5377,slopenormal,PCompareNormal,FDAX,54.5377
S2,15mins,0,57.3211,slopenormal,PCompareNormal,FDAX,57.3211
R2,15mins,0,50.4834,slopenormal,PCompareNormal,FDAX,50.4834
sma200,15mins,0,7.7658,slopenormal,PCompareNormal,FDAX,7.7658
sma100,15mins,0,7.7658,slopenormal,PCompareNormal,FDAX,7.7658
sma50,15mins,0,13.7233,slopenormal,PCompareNormal,FDAX,13.7233
ema,15mins,0,29.0216,slopenormal,PCompareNormal,FDAX,29.0216
ROC,1hour,0,1.026,slopenormal,PCompareNormal,FDAX,1.026
RVIsignal,1hour,0,0.1196,slopenormal,PCompareNormal,FDAX,0.1196
RVI_CROSS,1hour,0,0.0616,slopenormal,PCompareNormal,FDAX,0.0616
RVIline,1hour,0,0.0885,slopenormal,PCompareNormal,FDAX,0.0885
AO,1hour,0,61.7966,slopenormal,PCompareNormal,FDAX,61.7966
AOAcc,1hour,0,28.3536,slopenormal,PCompareNormal,FDAX,28.3536
RSI,1hour,0,10.6835,slopenormal,PCompareNormal,FDAX,10.6835
mcross,1hour,0,23.0569,slopenormal,PCompareNormal,FDAX,23.0569
Stoch_CROSS,1hour,0,10.8848,slopenormal,PCompareNormal,FDAX,10.8848
